Title,Release_Year
X-Men: Days of Future Past,2014
Cast Away,2000
Doctor Strange,2016
The Lost World: Jurassic Park,1997
Star Trek Into Darkness,2013
The Martian,2015
Signs,2002
Hancock,2008
The Bourne Ultimatum,2007
Logan,2017
Rush Hour 2,2001
The Fate of the Furious,2017
WALL-E,2008
Big Hero 6,2014
National Treasure 2: Book of Secrets,2007
Alvin and the Chipmunks: The Squeakquel,2009
Mrs. Doubtfire,1993
Beauty and the Beast,1991
Despicable Me 3,2017
Ted,2012
King Kong,2005
Ghost,1990
How to Train Your Dragon,2010
The Da Vinci Code,2006
Aladdin,1992
Alvin and the Chipmunks,2007
Madagascar 3: Europe's Most Wanted,2012
Saving Private Ryan,1998
Kung Fu Panda,2008
Mission: Impossible 2,2000
X2,2003
Doctor Seuss' The Lorax,2012
Austin Powers in Goldmember,2002
Back to the Future,1985
300,2007
Fast Five,2011
Mission: Impossible—Ghost Protocol,2011
The Wedding Crashers,2005
Sherlock Holmes,2009
Dawn of the Planet of the Apes,2014
Charlie and the Chocolate Factory,2005
Ratatouille,2007
Thor: The Dark World,2013
Austin Powers: The Spy Who Shagged Me,1999
Batman Begins,2005
The Amazing Spider-Man 2,2014
World War Z,2013
The Exorcist,1973
The Mummy Returns,2001
Terminator 2: Judgment Day,1991
Armageddon,1998
Cinderella,2015
Tangled,2010
Godzilla,2014
Superman Returns,2006
Spectre,2015
Gone with the Wind,1939
Pearl Harbor,2001
Monsters vs. Aliens,2009
Happy Feet,2006
Indiana Jones and the Last Crusade,1989
Ice Age: Dawn of the Dinosaurs,2009
Ice Age: The Meltdown,2006
Mission: Impossible—Rogue Nation,2015
The Polar Express,2004
Madagascar,2005
Twilight,2008
Toy Story,1995
22 Jump Street,2014
Cars 2,2011
Teenage Mutant Ninja Turtles,2014
Men in Black 2,2002
Wreck-It Ralph,2012
Interstellar,2014
Gladiator,2000
The Croods,2012
Sherlock Holmes: A Game of Shadows,2011
The Day After Tomorrow,2004
Mr. and Mrs. Smith,2005
Snow White and the Seven Dwarfs,1937
Dances with Wolves,1990
Batman Forever,1995
The Fugitive,1993
Pitch Perfect 2,2015
The Revenant,2016
Ocean's Eleven,2001
The Simpsons Movie,2007
What Women Want,2000
The Perfect Storm,2000
Lincoln,2012
Grease,1978
Liar Liar,1997
Jurassic Park III,2001
Thor,2011
Mission: Impossible,1996
Ant-Man,2015
Planet of the Apes,2001
Madagascar: Escape 2 Africa,2008
X-Men Origins: Wolverine,2009
Indiana Jones and the Temple of Doom,1984
Top Gun,1986
Men in Black 3,2012
Pretty Woman,1990
Hitch,2005
Home,2015
Night at the Museum: Battle of the Smithsonian,2009
Tootsie,1982
How to Train Your Dragon 2,2014
Rise of the Planet of the Apes,2011
Captain America: The First Avenger,2011
The Karate Kid,2010
There's Something About Mary,1998
Ice Age,2002
The Bourne Supremacy,2004
The Lego Batman Movie,2017
Get Out,2017
Crocodile Dundee,1986
The Boss Baby,2017
Home Alone 2: Lost in New York,1992
Elf,2003
National Treasure,2004
Air Force One,1997
Rain Man,1988
Apollo 13,1995
Tron: Legacy,2010
The Matrix,1999
True Grit,2010
Tarzan,1999
A Beautiful Mind,2001
Chicago,2002
Pirates of the Caribbean: Dead Men Tell No Tales,2017
The Help,2011
Hotel Transylvania 2,2015
Hidden Figures,2016
Quantum of Solace,2008
Bridesmaids,2011
Wild Hogs,2007
Kong: Skull Island,2017
3 Men and a Baby,1987
Gone Girl,2014
Casino Royale,2006
Meet the Parents,2000
Fifty Shades of Grey,2015
2012,2009
Close Encounters of the Third Kind,1977
Robin Hood: Prince of Thieves,1991
Kung Fu Panda 2,2011
Hannibal,2001
Catch Me if You Can,2002
The Proposal,2009
Big Daddy,1999
Clash of the Titans,2010
The Sound of Music,1965
The SpongeBob Movie: Sponge Out of Water,2015
Batman Returns,1992
Django Unchained,2012
A Bug's Life,1998
The Pursuit of Happyness,2006
Jason Bourne,2016
Grown Ups,2010
The Waterboy,1998
Shark Tale,2004
Ice Age: Continental Drift,2012
Straight Outta Compton,2015
Die Another Day,2002
The Sting,1973
The Heat,2013
Star Trek Beyond,2016
The Firm,1993
The Longest Yard,2005
X-Men,2000
Scary Movie,2000
Fatal Attraction,1987
What Lies Beneath,2000
X-Men: Apocalypse,2016
The Mummy,1999
San Andreas,2015
Snow White and the Huntsman,2012
Fast & Furious,2009
Over the Hedge,2006
Fantastic Four,2005
Horton Hears a Who,2008
Who Framed Roger Rabbit?,1988
Jerry Maguire,1996
Trolls,2016
Beverly Hills Cop II,1987
Mad Max: Fury Road,2015
Scooby-Doo,2002
101 Dalmatians,1961
Sex and the City,2008
Runaway Bride,1999
La La Land,2016
Divergent,2014
Rambo: First Blood Part II,1985
We're the Millers,2013
Terminator 3: Rise of the Machines,2003
Daddy’s Home,2015
G.I. Joe: The Rise of Cobra,2009
American Hustle,2013
Neighbors,2014
Puss in Boots,2011
Les Miserables,2012
Knocked Up,2007
As Good as it Gets,1997
Little Fockers,2010
Megamind,2010
Hotel Transylvania,2012
Talladega Nights: The Ballad of Ricky Bobby,2006
Gremlins,1984
Gran Torino,2008
Lethal Weapon 2,1989
X-Men: First Class,2011
Paul Blart: Mall Cop,2009
True Lies,1994
Lilo & Stitch,2002
American Pie 2,2001
Taken,2009
The Great Gatsby,2013
The Santa Clause,1994
"I, Robot",2004
Lethal Weapon 3,1992
The Fast and the Furious,2001
Cars 3,2017
Doctor Dolittle,1998
Mamma Mia!,2008
Rio,2011
Kung Fu Panda 3,2016
Juno,2007
Marley & Me,2008
The Smurfs,2011
xXx,2002
The Jungle Book,1967
The Chronicles of Narnia: Prince Caspian,2008
National Lampoon's Animal House,1978
Pocahontas,1995
A Few Good Men,1992
Slumdog Millionaire,2008
Rush Hour,1998
The Blair Witch Project,1999
The Rocky Horror Picture Show,1975
Deep Impact,1998
Rush Hour 3,2007
Look Who's Talking,1989
Stuart Little,1999
Taken 2,2012
Sister Act,1992
Saturday Night Fever,1977
The Matrix Revolutions,2003
The Santa Clause 2,2002
The King’s Speech,2010
Cheaper by the Dozen,2003
Bad Boys II,2003
21 Jump Street,2012
Good Will Hunting,1997
Split,2017
Platoon,1986
Disney's A Christmas Carol,2009
Dinosaur,2000
The Conjuring,2013
Click,2006
The Green Mile,1999
Ransom,1996
Godzilla,1998
101 Dalmatians,1996
Argo,2012
Anger Management,2003
Chicken Little,2005
Teenage Mutant Ninja Turtles,1990
Patch Adams,1998
The Godfather,1972
The Incredible Hulk,2008
Live Free or Die Hard,2007
Wanted,2008
Identity Thief,2013
Superman,1978
Ride Along,2014
The Rock,1996
Grown Ups 2,2013
Mission: Impossible III,2006
Angels & Demons,2009
Troy,2004
Alvin and the Chipmunks: Chipwrecked,2011
Bringing Down the House,2003
The Wolverine,2013
The Departed,2006
Hulk,2003
Silver Linings Playbook,2012
Minority Report,2002
Fantastic Four: Rise of the Silver Surfer,2007
The Last Airbender,2010
Rio 2,2014
Lara Croft: Tomb Raider,2001
The Silence of the Lambs,1991
"Honey, I Shrunk the Kids",1989
The Flintstones,1994
Lethal Weapon 4,1998
Get Smart,2008
The Divergent Series: Insurgent,2015
The Peanuts Movie,2015
American Gangster,2007
American Beauty,1999
An Officer and a Gentleman,1982
The Ring,2002
The Nutty Professor,1996
Borat,2006
Ghostbusters,2016
Kingsman: The Secret Service,2015
Robots,2005
Coming to America,1988
"Crouching Tiger, Hidden Dragon",2000
Shutter Island,2010
Into the Woods,2014
Transformers: The Last Knight,2017
Rocky IV,1985
Enchanted,2007
The Curious Case of Benjamin Button,2008
Central Intelligence,2016
Anchorman 2: The Legend Continues,2013
Sweet Home Alabama,2002
Dumb & Dumber,1994
2 Fast 2 Furious,2003
Super 8,2011
The World is Not Enough,1999
My Best Friend's Wedding,1997
Smokey and the Bandit,1977
Sleepless in Seattle,1993
The Legend of Tarzan,2016
Bee Movie,2007
Lucy,2014
Prometheus,2012
Mr. Deeds,2002
Safe House,2012
The Dream is Alive,1985
The Truman Show,1998
Erin Brockovich,2000
Ocean's Twelve,2004
Terminator Salvation,2009
Charlie's Angels,2000
Tomorrow Never Dies,1997
Lone Survivor,2014
Sully,2016
Rocky III,1982
The Vow,2012
Life of Pi,2012
The Fault in Our Stars,2014
Cloudy with a Chance of Meatballs,2009
The Devil Wears Prada,2006
Something's Gotta Give,2003
Traffic,2000
The Birdcage,1996
City Slickers,1991
Good Morning Vietnam,1987
Nutty Professor II: The Klumps,2000
Rango,2011
The Good Dinosaur,2015
G.I. Joe: Retaliation,2013
Clear and Present Danger,1994
The Bodyguard,1992
Wayne's World,1992
The Bourne Identity,2002
Superbad,2007
Speed,1994
50 First Dates,2004
Inglourious Basterds,2009
The Hunt for Red October,1990
Mulan,1998
Seabiscuit,2003
Van Helsing,2004
Four Christmases,2008
The Mask,1994
Cloudy with a Chance of Meatballs 2,2013
I Now Pronounce You Chuck and Larry,2007
Hook,1991
Walk the Line,2005
Blazing Saddles,1974
G-Force,2009
Total Recall,1990
On Golden Pond,1981
The Other Guys,2010
Fahrenheit 9/11,2004
Hairspray,2007
The Break-Up,2006
Lemony Snicket's A Series of Unfortunate Events,2004
Blades of Glory,2007
The Sum of All Fears,2002
Back to the Future Part II,1989
Salt,2010
Basic Instinct,1992
Now You See Me,2013
Big Momma's House,2000
Horrible Bosses,2011
Die Hard 2,1990
Rocky,1976
Jackass 3D,2010
Ocean's Thirteen,2007
The Wolf of Wall Street,2013
S.W.A.T.,2003
Double Jeopardy,1999
8 Mile,2002
Lee Daniels' The Butler,2013
Green Lantern,2011
Notting Hill,1999
Towering Inferno,1974
You've Got Mail,1998
Ghost Rider,2007
Remember the Titans,2000
District 9,2009
Unbroken,2014
"The Karate Kid, Part II",1986
American Graffiti,1973
Big,1988
Fifty Shades Darker,2017
Dodgeball: A True Underdog Story,2004
The Village,2004
Bolt,2008
Wild Wild West,1999
Night at the Museum: Secret of the Tomb,2014
Magic Mike,2012
The Addams Family,1991
The Patriot,2000
Bad Moms,2016
The Bourne Legacy,2012
The Pacifier,2005
Doctor Dolittle 2,2001
It’s Complicated,2009
Spy Kids,2001
Ghostbusters II,1989
Face/Off,1997
The Hangover 3,2013
Twins,1988
Spy Kids 3-D: Game Over,2003
Doctor Zhivago,1965
Enemy of the State,1998
The Little Mermaid,1989
Mr. Peabody & Sherman,2014
The Last Samurai,2003
Spy!,2015
Fun With Dick And Jane,2005
Valentine's Day,2010
Tropic Thunder,2008
The Grudge,2004
Freaky Friday,2003
Bedtime Stories,2008
Trainwreck,2015
Scary Movie 3,2003
Creed,2015
Star Trek IV: The Voyage Home,1986
Porky's,1982
The 40 Year-old Virgin,2005
Crocodile Dundee 2,1988
Couples Retreat,2009
One Flew Over the Cuckoo's Nest,1975
A Time to Kill,1996
Black Hawk Down,2001
Terms of Endearment,1983
Ace Ventura: When Nature Calls,1995
The Princess Diaries,2001
Superman II,1981
Hop,2011
Pulp Fiction,1994
Paranormal Activity,2009
A League of Their Own,1992
Epic,2013
Watchmen,2009
The Angry Birds Movie,2016
Batman & Robin,1997
Captain Phillips,2013
Black Swan,2010
Analyze This,1999
Miss Congeniality,2000
Chicken Run,2000
Indecent Proposal,1993
Driving Miss Daisy,1989
300: Rise of an Empire,2014
Goldeneye,1995
Love Story,1970
Kramer vs. Kramer,1979
The Italian Job,2003
How to Lose a Guy in 10 Days,2003
The First Wives Club,1996
Robin Hood,2010
Interview with the Vampire: The Vampire Chronicles,1994
George Of The Jungle,1997
Phenomenon,1996
The Princess and the Frog,2009
The Graduate,1967
The Chronicles of Narnia: The Voyage of the Daw…,2010
American Wedding,2003
Every Which Way but Loose,1978
War for the Planet of the Apes,2017
Daddy Day Care,2003
Road to Perdition,2002
Paranormal Activity 3,2011
Journey 2: The Mysterious Island,2012
Dick Tracy,1990
Rise of the Guardians,2012
Dreamgirls,2006
Nine to Five,1980
Independence Day: Resurgence,2016
The Expendables,2010
Scream,1996
Just Go With It,2011
Jaws 2,1978
Bambi,1942
The General's Daughter,1999
The Aviator,2004
Daredevil,2003
The Girl with the Dragon Tattoo,2011
The Mummy: Tomb of the Dragon Emperor,2008
The Conjuring 2: The Enfield Poltergeist,2016
The Maze Runner,2014
Butch Cassidy and the Sundance Kid,1969
Mary Poppins,1964
In the Line of Fire,1993
Jackass Presents: Bad Grandpa,2013
Pacific Rim,2013
American Pie,1999
Journey to the Center of the Earth,2008
Gone in 60 Seconds,2000
Maverick,1994
Sleeping with the Enemy,1991
The Equalizer,2014
This is the End,2013
Eagle Eye,2008
The Prince of Egypt,1998
Scream 2,1997
Stir Crazy,1980
Eraser,1996
Noah,2014
Unforgiven,1992
Con Air,1997
Sleepy Hollow,1999
The Cat in the Hat,2003
Contact,1997
Charlie's Angels: Full Throttle,2003
The Pelican Brief,1993
Vanilla Sky,2001
Arrival,2016
Due Date,2010
The Rugrats Movie,1998
Million Dollar Baby,2004
Airport,1970
Step Brothers,2008
Jumanji,1995
Casper,1995
Shakespeare in Love,1998
Bad Teacher,2011
Evan Almighty,2007
Yogi Bear,2010
Cowboys and Aliens,2011
Edge of Tomorrow,2014
Collateral,2004
The Hunchback of Notre Dame,1996
Se7en,1995
Parenthood,1989
You Don't Mess With the Zohan,2008
Passengers,2016
Die Hard: With a Vengeance,1995
Gnomeo and Juliet,2011
Hercules,1997
Olympus Has Fallen,2013
Heaven Can Wait,1978
The Green Hornet,2011
Date Night,2010
Billy Jack,1971
Meet the Robinsons,2007
Yes Man,2008
Sausage Party,2016
Inspector Gadget,1999
Public Enemies,2009
The Social Network,2010
The Others,2001
Legally Blonde,2001
Schindler's List,1993
Dead Poets Society,1989
Zero Dark Thirty,2012
Norbit,2007
Cold Mountain,2003
Sex and the City 2,2010
Michael,1996
Panic Room,2002
The Princess Diaries 2: Royal Engagement,2004
42,2013
Unbreakable,2000
The Book of Eli,2010
"10,000 B.C.",2008
Beverly Hills Chihuahua,2008
Julie & Julia,2009
He's Just Not That Into You,2009
Maid in Manhattan,2002
Master and Commander: The Far Side of the World,2003
The Mask of Zorro,1998
Flight,2012
The Fighter,2010
America's Sweethearts,2001
Lady and the Tramp,1955
The Color Purple,1985
The Bucket List,2007
Tomorrowland,2015
The Magnificent Seven,2016
Cats & Dogs,2001
Two Weeks Notice,2002
The Poseidon Adventure,1972
Space Station,2002
Elysium,2013
Flubber,1997
Red Dragon,2002
When Harry Met Sally…,1989
The Town,2010
The Client,1994
John Wick: Chapter Two,2017
Star Trek: First Contact,1996
Non-Stop,2014
Think Like a Man,2012
Kindergarten Cop,1990
Crimson Tide,1995
Heaven is for Real,2014
Back to School,1986
The Haunting,1999
Stepmom,1998
The Imitation Game,2014
Save the Last Dance,2001
Ride Along 2,2016
The Karate Kid,1984
Prince of Persia: Sands of Time,2010
Antz,1998
Scary Movie 4,2006
The Game Plan,2007
"Legally Blonde 2: Red, White & Blonde",2003
The Scorpion King,2002
"Me, Myself & Irene",2000
High School Musical 3: Senior Year,2008
Madea Goes To Jail,2009
Flashdance,1983
Space Jam,1996
Space Cowboys,2000
Get Hard,2015
Trading Places,1983
Red,2010
Disney Planes,2013
Mystic River,2003
Terminator: Genisys,2015
Flightplan,2005
Father of the Bride,1991
The Lone Ranger,2013
The Emperor's New Groove,2000
Taken 3,2015
Don’t Breathe,2016
Scream 3,2000
Oblivion,2013
The Trial of Billy Jack,1974
The Ugly Truth,2009
Percy Jackson & the Olympians: The Lightning Thief,2010
Failure to Launch,2006
Inside Man,2006
The Muppets,2011
Waterworld,1995
Starsky & Hutch,2004
Along Came Polly,2004
Back to the Future Part III,1990
The Hand That Rocks the Cradle,1992
Entrapment,1999
Peter Pan,1953
The Pineapple Express,2008
Miss Peregrine’s Home for Peculiar Children,2016
Everest,1998
Sisters,2015
Saw II,2005
The Naked Gun 2½: The Smell of Fear,1991
The Campaign,2012
To Fly!,1976
The Amityville Horror,1979
Baby Driver,2017
Presumed Innocent,1990
Young Frankenstein,1974
The Accountant,2016
Dumb and Dumber To,2014
Mean Girls,2004
Annie,2014
Alvin and the Chipmunks: The Road Chip,2015
Spy Kids 2: The Island of Lost Dreams,2002
Fury,2014
Pokemon: The First Movie,1999
Real Steel,2011
SpongeBob SquarePants: The Movie,2004
Power Rangers,2017
Brother Bear,2003
Stripes,1981
Rocky 2,1979
Aliens,1986
Open Season,2006
The Expendables 2,2012
Cinderella,1950
Dangerous Minds,1995
Paranormal Activity 2,2010
Tammy,2014
The Santa Clause 3: The Escape Clause,2006
"Crazy, Stupid, Love",2011
Pinocchio,1940
Annabelle,2014
Scooby-Doo 2: Monsters Unleashed,2004
Anchorman: The Legend of Ron Burgundy,2004
Atlantis: The Lost Empire,2001
Cliffhanger,1993
The Other Woman,2014
The X Files: Fight the Future,1998
Up in the Air,2009
Steel Magnolias,1989
The Goodbye Girl,1977
The War of the Roses,1989
Wrath of the Titans,2012
Insidious Chapter 2,2013
Under Siege,1992
Battle: Los Angeles,2011
Immortals,2011
Airplane!,1980
Penguins of Madagascar,2014
Fantasia,1940
Saving Mr. Banks,2013
Patriot Games,1992
Valkyrie,2008
Brokeback Mountain,2005
Turbo,2013
Disclosure,1994
Charlotte's Web,2006
Monster-in-Law,2005
Are We There Yet?,2005
Days of Thunder,1990
The Descendants,2011
Freddy vs. Jason,2003
Mr. Holland's Opus,1995
Cheaper by the Dozen 2,2005
Bram Stoker's Dracula,1992
Let’s Be Cops,2014
Star Trek: The Motion Picture,1979
Bridge to Terabithia,2007
The Pink Panther,2006
Beowulf,2007
Teenage Mutant Ninja Turtles: Out of the Shadows,2016
Maze Runner: The Scorch Trials,2015
Blade 2,2002
Eight Below,2006
M*A*S*H,1970
Unstoppable,2010
Payback,1999
Arthur,1981
Die Hard,1988
The Talented Mr. Ripley,1999
Ted 2,2015
School of Rock,2003
Fried Green Tomatoes,1991
Police Academy,1984
Jumper,2008
21,2008
Snow Dogs,2002
While You Were Sleeping,1995
Congo,1995
The Notebook,2004
Jimmy Neutron: Boy Genius,2001
Alien,1979
Disturbia,2007
Moonstruck,1987
Eat Pray Love,2010
The Texas Chainsaw Massacre,2003
Fiddler on the Roof,1971
Zookeeper,2011
AVP: Alien Vs. Predator,2004
What Happens in Vegas...,2008
The Dukes of Hazzard,2005
The Wedding Singer,1998
Saw III,2006
Nacho Libre,2006
Jack Reacher,2012
Goosebumps,2015
Cloverfield,2008
Another 48 Hrs.,1990
Dear John,2010
Footloose,1984
The Ten Commandments,1956
Knowing,2009
War Horse,2011
The Golden Child,1986
Dark Shadows,2012
Earthquake,1974
Hannah Montana the Movie,2009
The Mummy,2017
The Day the Earth Stood Still,2008
Limitless,2011
Out of Africa,1985
Cape Fear,1991
The Purge: Election Year,2016
Star Trek II: The Wrath of Khan,1982
Apocalypse Now,1979
City of Angels,1998
Pixels,2015
The English Patient,1996
Teenage Mutant Ninja Turtles II: The Secret of …,1991
Artificial Intelligence: AI,2001
Cocktail,1988
We Were Soldiers,2002
Tower Heist,2011
The Naked Gun: From the Files of Police Squad!,1988
The Monuments Men,2014
Man on Fire,2004
Backdraft,1991
Gangs of New York,2002
Free Willy,1993
The Adventures of Tintin,2011
La marche de l'empereur,2005
Philadelphia,1993
Parental Guidance,2012
Where the Wild Things Are,2009
The A-Team,2010
U-571,2000
The Terminal,2004
Alice Through the Looking Glass,2016
27 Dresses,2008
The Muppet Movie,1979
Father of the Bride Part II,1995
Rugrats in Paris,2000
Star Trek III: The Search for Spock,1984
Knight and Day,2010
The Untouchables,1987
Training Day,2001
Cocoon,1985
White Men Can't Jump,1992
Pete’s Dragon,2016
Paddington,2015
Conspiracy Theory,1997
Hellboy II: The Golden Army,2008
Constantine,2005
The Ring Two,2005
48 Hrs.,1982
The Haunted Mansion,2003
"You, Me and Dupree",2006
Barbershop,2002
The Intern,2015
The Family Man,2000
Star Trek: Generations,1994
Contagion,2011
We Bought a Zoo,2011
2 Guns,2013
Moneyball,2011
The Rookie,2002
Zombieland,2009
Braveheart,1995
Any Given Sunday,1999
The Last of the Mohicans,1992
The Girl on the Train,2016
The Horse Whisperer,1998
Garfield,2004
Ray,2004
Coraline,2009
Old School,2003
Romancing the Stone,1984
The Exorcism of Emily Rose,2005
Eragon,2006
Star Trek VI: The Undiscovered Country,1991
The Prince of Tides,1991
Poltergeist,1982
Ladder 49,2004
Four Brothers,2005
WarGames,1983
"Six Days, Seven Nights",1998
No Country for Old Men,2007
Jack and Jill,2011
Sin City,2005
Alien: Covenant,2017
Along Came a Spider,2001
Hugo,2011
Christmas with the Kranks,2004
The Jerk,1979
Monster House,2006
Deep Blue Sea,1999
Law Abiding Citizen,2009
Beetle Juice,1988
Spirit: Stallion of the Cimarron,2002
Hollow Man,2000
Tyler Perry’s Boo! A Madea Halloween,2016
White House Down,2013
John Carter,2012
Hotel for Dogs,2009
Dinner for Schmucks,2010
Justin Bieber: Never Say Never,2011
Ben-Hur,1959
Barnyard: The Original Party Animals,2006
Jackass: Number Two,2006
The Interpreter,2005
Hercules,2014
Storks,2016
Bridge of Spies,2015
Dolphin Tale,2011
Vantage Point,2008
I Know What You Did Last Summer,1997
Ace Ventura: Pet Detective,1994
Michael Jackson's This Is It,2009
10 Cloverfield Lane,2016
Captain Underpants: The First Epic Movie,2017
Get Shorty,1995
Fred Claus,2007
My Fair Lady,1964
1408,2007
R.V.,2006
Mama,2013
Ruthless People,1986
3 Men and a Little Lady,1990
Stargate,1994
The Purge: Anarchy,2014
Grumpier Old Men,1995
The Bridges of Madison County,1995
Sideways,2004
Bridget Jones's Diary,2001
"I Love You, Man",2009
Galaxy Quest,1999
Safe Haven,2013
National Lampoon's Christmas Vacation,1989
Chocolat,2000
Scary Movie 2,2001
The Spiderwick Chronicles,2008
Turner & Hooch,1989
The Score,2001
Paul Blart: Mall Cop 2,2015
John Q,2002
The Smurfs 2,2013
Bird on a Wire,1990
Groundhog Day,1993
Shallow Hal,2001
Any Which Way You Can,1980
No Strings Attached,2011
Broken Arrow,1996
The Best Man Holiday,2013
V for Vendetta,2006
Mortal Kombat,1995
JFK,1991
Shaft,2000
Moonraker,1979
World Trade Center,2006
Rocky Balboa,2006
The Big Short,2015
Fool's Gold,2008
Star Trek: Insurrection,1998
Grumpy Old Men,1993
Big Momma's House 2,2006
Blade,1998
Ferris Bueller's Day Off,1986
The Golden Compass,2007
Kill Bill: Volume 1,2003
Boomerang,1992
Act of Valor,2012
Born on the Fourth of July,1989
Seven Pounds,2008
Private Benjamin,1980
Swordfish,2001
The Best Little Whorehouse in Texas,1982
The Kid,2000
Nine Months,1995
The Divine Secrets of the Ya-Ya Sisterhood,2002
The Thomas Crown Affair,1999
White Chicks,2004
Lost In Space,1998
Guess Who,2005
Cool Runnings,1993
Sahara,2005
Percy Jackson: Sea of Monsters,2013
Road Trip,2000
Vertical Limit,2000
Purple Rain,1984
Bring it On,2000
The Jewel of the Nile,1985
Hot Shots!,1991
Obsessed,2009
Mr. Poppers's Penguins,2011
Blue Streak,1999
Octopussy,1983
Outbreak,1995
War Room,2015
A Perfect Murder,1998
Sudden Impact,1983
The Tourist,2010
This is 40,2012
Heat,1995
Holes,2003
A Good Day to Die Hard,2013
Role Models,2008
Hidalgo,2004
Lights Out,2016
Coach Carter,2005
Insomnia,2002
Hacksaw Ridge,2016
Coal Miner's Daughter,1980
Race to Witch Mountain,2009
Dante's Peak,1997
The Bounty Hunter,2010
The Secret of My Success,1987
"Alexander and the Terrible, Horrible, No Good, …",2014
Waiting to Exhale,1995
102 Dalmatians,2000
End of Days,1999
The Mexican,2001
Changing Lanes,2002
Uncle Buck,1989
Kangaroo Jack,2003
The Forgotten,2004
Charlie Wilson's War,2007
Contraband,2012
The Godfather: Part III,1990
Legends of the Fall,1994
The Bone Collector,1999
Looper,2012
The Final Destination,2009
The League of Extraordinary Gentlemen,2003
Bowfinger,1999
Big Fish,2003
Warm Bodies,2013
The Parent Trap,1998
Kill Bill: Volume 2,2004
The Divergent Series: Allegiant,2016
Smokey and the Bandit II,1980
Magic Mike XXL,2015
Herbie: Fully Loaded,2005
The Manchurian Candidate,2004
Ever After: A Cinderella Story,1998
Stakeout,1987
